# MEDISCAN AI — Mesures de performance
# Date,2026-03-17 15:24:04
# Mode,visual
# k,10
# N images dans index,10000
# N requêtes mesurées,10

requete,tembed_s,tsearch_s,tserver_s,te2e_s
1,0.1218,0.0007,0.1225,0.1259
2,0.1435,0.0008,0.1443,0.1488
3,0.1242,0.0006,0.1248,0.1305
4,0.1303,0.0007,0.1310,0.1380
5,0.1262,0.0012,0.1274,0.1339
6,0.1309,0.0008,0.1317,0.1449
7,0.1224,0.0007,0.1231,0.1310
8,0.1283,0.0006,0.1290,0.1351
9,0.1250,0.0007,0.1257,0.1315
10,0.1262,0.0007,0.1270,0.1343

# STATISTIQUES
metrique,min_s,max_s,moyenne_s,dispersion_s,stabilite_%,seuil,statut
tembed,0.1218,0.1435,0.1279,0.0217,17.0%,-,-
tsearch,0.0006,0.0012,0.0008,0.0005,70.8%,-,-
tserver,0.1225,0.1443,0.1287,0.0218,17.0%,-,-
te2e,0.1259,0.1488,0.1354,0.0229,16.9%,<= 5.0s,PASS
