# MEDISCAN AI — Mesures de performance
# Date,2026-03-17 15:02:09
# Mode,visual
# k,10
# N images dans index,10000
# N requêtes mesurées,10

requete,tembed_s,tsearch_s,tserver_s,te2e_s
1,0.1359,0.0008,0.1367,0.1391
2,0.1313,0.0011,0.1324,0.1352
3,0.1364,0.0007,0.1371,0.1411
4,0.1334,0.0013,0.1347,0.1400
5,0.1348,0.0010,0.1358,0.1412
6,0.1361,0.0007,0.1368,0.1492
7,0.1285,0.0008,0.1292,0.1363
8,0.1364,0.0007,0.1370,0.1419
9,0.1302,0.0010,0.1312,0.1352
10,0.1332,0.0008,0.1339,0.1396

# STATISTIQUES
metrique,min_s,max_s,moyenne_s,dispersion_s,stabilite_%,seuil,statut
tembed,0.1285,0.1364,0.1336,0.0079,5.9%,-,-
tsearch,0.0007,0.0013,0.0009,0.0006,72.5%,-,-
tserver,0.1292,0.1371,0.1345,0.0079,5.8%,-,-
te2e,0.1352,0.1492,0.1399,0.0140,10.0%,<= 5.0s,PASS
