# MEDISCAN AI — Mesures de performance
# Date,2026-03-17 15:24:35
# Mode,semantic
# k,10
# N images dans index,10000
# N requêtes mesurées,10

requete,tembed_s,tsearch_s,tserver_s,te2e_s
1,0.1148,0.0005,0.1153,0.1184
2,0.1359,0.0005,0.1363,0.1395
3,0.1159,0.0005,0.1164,0.1220
4,0.1055,0.0006,0.1062,0.1117
5,0.1046,0.0007,0.1052,0.1114
6,0.1263,0.0007,0.1270,0.1550
7,0.0953,0.0006,0.0959,0.1029
8,0.1076,0.0005,0.1081,0.1147
9,0.0928,0.0008,0.0935,0.0991
10,0.1016,0.0004,0.1021,0.1090

# STATISTIQUES
metrique,min_s,max_s,moyenne_s,dispersion_s,stabilite_%,seuil,statut
tembed,0.0928,0.1359,0.1100,0.0431,39.2%,-,-
tsearch,0.0004,0.0008,0.0006,0.0003,57.5%,-,-
tserver,0.0935,0.1363,0.1106,0.0428,38.7%,-,-
te2e,0.0991,0.1550,0.1184,0.0559,47.2%,<= 5.0s,PASS
