# MEDISCAN AI — Mesures de performance
# Date,2026-03-17 15:24:17
# Mode,semantic
# k,10
# N images dans index,10000
# N requêtes mesurées,10

requete,tembed_s,tsearch_s,tserver_s,te2e_s
1,0.0454,0.0004,0.0459,0.0495
2,0.0430,0.0005,0.0435,0.0475
3,0.0438,0.0005,0.0443,0.0497
4,0.0438,0.0008,0.0446,0.0509
5,0.0471,0.0007,0.0479,0.0542
6,0.0503,0.0011,0.0514,0.0637
7,0.0426,0.0006,0.0432,0.0501
8,0.0408,0.0005,0.0412,0.0461
9,0.0427,0.0004,0.0431,0.0483
10,0.0406,0.0005,0.0411,0.0477

# STATISTIQUES
metrique,min_s,max_s,moyenne_s,dispersion_s,stabilite_%,seuil,statut
tembed,0.0406,0.0503,0.0440,0.0097,22.0%,-,-
tsearch,0.0004,0.0011,0.0006,0.0007,110.4%,-,-
tserver,0.0411,0.0514,0.0446,0.0103,23.2%,-,-
te2e,0.0461,0.0637,0.0508,0.0176,34.7%,<= 5.0s,PASS
